date,sentiment,daily_pnl,daily_volume,n_trades
2024-07-04,Fear,0.0,430568.01,25
2024-07-05,Fear,0.0,272289.89,32
2024-07-06,Fear,108.87217799999999,2490.17,24
2024-07-07,Fear,61.428942,498.75,10
2024-07-08,Fear,0.0,497.64,1
2024-07-09,Fear,648.984412,2736.45,15
2024-07-10,Fear,11977.734907,687900.21,56
2024-07-11,Fear,1876.812082,169887.02,19
2024-07-12,Fear,1412.314654,89582.97,19
2024-07-13,Fear,2913.617837,139189.19,17
2024-07-14,Fear,0.0,84001.13,7
2024-07-15,Neutral,-1.0,198344.85,26
2024-07-16,Greed,0.0,144000.57,22
2024-07-17,Greed,1859.269477,626005.53,351
2024-07-18,Greed,3803.884311,649704.85,60
2024-07-19,Greed,2155.891114,150269.42,23
2024-07-20,Greed,2299.169566,244362.21,266
2024-07-21,Greed,-2960.716887,234307.46,448
2024-07-22,Greed,1517.119876,304213.8,154
2024-07-23,Greed,89890.302206,358526.54,370
2024-07-24,Greed,625.561479,69207.93,90
2024-07-25,Greed,916.7382600000001,528555.31,78
2024-07-26,Greed,2766.513113,548587.65,152
2024-07-27,Greed,6400.623656,905199.75,57
2024-07-28,Greed,587.29903,43254.68,16
2024-07-29,Greed,330.80445399999996,327199.14,39
2024-07-30,Greed,0.0,36006.47,6
2024-07-31,Greed,765.690884,84506.54,43
2024-08-01,Neutral,167.080017,227774.53,57
2024-08-02,Greed,782.3681909999999,396320.37,63
2024-08-03,Fear,464.1897,290532.86,37
2024-08-04,Fear,-122672.000883,1207744.07,127
2024-08-05,Fear,-13013.665169,420495.4,80
2024-08-06,Extreme Fear,267.318048,61478.38,107
2024-08-07,Fear,188.789255,2492.77,33
2024-08-08,Extreme Fear,-40.712216999999995,16299.35,9
2024-08-09,Neutral,18082.071276,503204.86,144
2024-08-10,Fear,0.0,11339.29,88
2024-08-11,Fear,847.7766200000001,44230.21,24
2024-08-12,Fear,858.6705000000001,54167.32,48
2024-08-13,Fear,212.08102,20797.87,23
2024-08-14,Fear,2168.9015130000003,66710.03,25
2024-08-15,Fear,0.0,1522.3700000000001,12
2024-08-16,Fear,825.230544,166382.84,35
2024-08-17,Fear,-288.283113,30248.96,30
2024-08-18,Fear,307.201888,62804.48,15
2024-08-19,Fear,339.69958299999996,100315.03,8
2024-08-20,Fear,192.602844,49914.8,12
2024-08-21,Fear,656.200925,104990.41,145
2024-08-23,Fear,1005.30527,63509.56,10
2024-08-24,Greed,0.0,34999.67,7
2024-08-25,Neutral,0.0,21950.28,17
2024-08-26,Greed,231.236918,92611.27,6
2024-08-27,Neutral,0.0,70250.16,50
2024-08-28,Fear,1333.359645,71160.06999999999,9
2024-08-29,Fear,0.0,9995.85,1
2024-08-30,Fear,256.464,37233.24,6
2024-08-31,Fear,10.882801,107507.43000000001,34
2024-09-01,Fear,137.433093,12359.68,12
2024-09-02,Fear,0.0,30000.42,2
2024-09-04,Fear,1065.785132,131480.97,34
2024-09-05,Fear,0.0,0.84,1
2024-09-06,Extreme Fear,-1104.856765,39047.1,42
2024-09-08,Fear,0.0,0.11,1
2024-09-09,Fear,0.0,4014.4300000000003,2
2024-09-10,Fear,-219.729659,2547.28,3
2024-09-11,Fear,0.0,0.54,1
2024-09-14,Neutral,0.0,1014.8000000000001,11
2024-09-18,Neutral,-878.684794,13633.5,145
2024-09-19,Neutral,0.0,1521.8700000000001,19
2024-09-20,Neutral,9585.03428,332873.38,16
2024-09-21,Neutral,36165.56933,165648.12,23
2024-09-22,Neutral,0.0,19999.739999999998,3
2024-09-23,Neutral,334.760796,40334.29,2
2024-09-24,Neutral,0.0,7118.63,10
2024-09-25,Greed,0.0,52754.130000000005,9
2024-09-26,Neutral,439.812513,113711.93000000001,8
2024-09-27,Greed,0.0,126097.04,56
2024-09-28,Greed,0.0,29199.21,4
2024-09-30,Greed,2710.626288,214669.85,106
2024-10-01,Neutral,0.0,139954.32,4
2024-10-02,Fear,0.0,99954.34,4
2024-10-03,Fear,100.375782,132935.69,9
2024-10-04,Fear,0.0,0.34,1
2024-10-05,Neutral,5767.161892,605605.74,37
2024-10-06,Neutral,130.487079,300130.56,22
2024-10-07,Neutral,0.0,219984.65,21
2024-10-08,Neutral,5396.546638,434584.13,36
2024-10-09,Neutral,396.06272,220399.93,14
2024-10-10,Fear,0.0,300024.33999999997,16
2024-10-11,Fear,8885.327477,488904.19,26
2024-10-12,Neutral,541.55471,159713.4,10
2024-10-13,Neutral,0.0,60002.42,10
2024-10-14,Neutral,1913.61958,61916.020000000004,5
2024-10-15,Greed,1170.2260760000001,81173.36,7
2024-10-16,Greed,219.480876,80229.17,11
2024-10-17,Greed,36.11496,140531.75,9
2024-10-18,Greed,333.219141,120331.43000000001,6
2024-10-19,Greed,0.0,99996.86,4
2024-10-20,Greed,389.155797,176447.86000000002,96
2024-10-21,Greed,2464.915564,324117.99,173
2024-10-22,Greed,0.0,60000.36,3
2024-10-23,Greed,-46.489941,210006.07,18
2024-10-25,Greed,13235.862071,427883.18,30
2024-10-27,Greed,666.6623079999999,90664.41,4
2024-10-28,Greed,167.28016200000002,121495.25,13
2024-10-29,Greed,801.170876,613267.8099999999,53
2024-10-30,Extreme Greed,9.150023,11830.85,25
2024-10-31,Extreme Greed,1214.043811,896173.36,48
2024-11-01,Extreme Greed,1040.475736,260981.03,23
2024-11-02,Greed,0.0,40000.0,2
2024-11-03,Greed,0.0,129055.66,6
2024-11-04,Greed,2799.410474,451811.97,36
2024-11-05,Greed,678.4759280000001,200627.23,10
2024-11-06,Greed,2817.83723,123906.9,15
2024-11-07,Extreme Greed,4493.353136,111335.3,113
2024-11-08,Extreme Greed,-64.41354100000007,270700.44,39
2024-11-09,Extreme Greed,102.90894,193384.41,86
2024-11-10,Extreme Greed,991.114334,413636.7,173
2024-11-11,Extreme Greed,6749.630996,1570572.42,373
2024-11-12,Extreme Greed,3494.399394,1226354.52,171
